a,0.09688667496886674
b,0.026338729763387296
c,0.04078455790784558
d,0.03212951432129514
e,0.10466998754669987
f,0.017061021170610213
g,0.025529265255292654
h,0.033686176836861766
i,0.0589041095890411
j,0.0036114570361145703
k,0.01855541718555417
l,0.06257783312577833
m,0.02907845579078456
n,0.05417185554171856
o,0.06575342465753424
p,0.029016189290161892
q,0.0023661270236612704
r,0.07017434620174347
s,0.05971357409713574
t,0.05927770859277708
u,0.038107098381070986
v,0.012017434620174346
w,0.014321295143212951
x,0.004171855541718556
y,0.03661270236612702
z,0.00448318804483188
